timestamp,subscription_id,detected_issue,diagnosed_cause,chosen_action,retry_attempt_number,outcome
2026-09-04 03:34:06,sub_100015,mandate_expired,mandate_lifecycle,recovery_abandoned,1,correctly_stopped
2026-09-04 03:34:06,sub_100026,bank_technical_decline,transient_bank_error,recovery_abandoned,1,still_failed
2026-09-04 03:34:06,sub_100028,mandate_expired,mandate_lifecycle,reauth_request,1,recovered
2026-09-04 03:34:06,sub_100031,insufficient_funds,funding_shortfall,retry_scheduled,1,recovered
2026-09-04 03:34:06,sub_100036,instrument_expired,payment_instrument_issue,recovery_abandoned,1,still_failed
2026-09-04 03:34:06,sub_100040,insufficient_funds,funding_shortfall,retry_scheduled,1,recovered
2026-09-04 03:34:06,sub_100045,insufficient_funds,funding_shortfall,retry_scheduled,1,recovered
2026-09-04 03:34:06,sub_100054,mandate_revoked,mandate_lifecycle,no_retry_winback_offer,,correctly_stopped
2026-09-04 03:34:06,sub_100065,bank_technical_decline,transient_bank_error,recovery_abandoned,1,still_failed
2026-09-04 03:34:06,sub_100069,instrument_expired,payment_instrument_issue,recovery_abandoned,1,correctly_stopped
2026-09-04 03:34:06,sub_100080,mandate_expired,mandate_lifecycle,reauth_request,1,still_failed
2026-09-04 03:34:06,sub_100104,insufficient_funds,funding_shortfall,retry_scheduled,1,still_failed
2026-09-04 03:34:06,sub_100105,insufficient_funds,funding_shortfall,recovery_abandoned,1,still_failed
2026-09-04 03:34:06,sub_100108,mandate_expired,mandate_lifecycle,recovery_abandoned,1,correctly_stopped
2026-09-04 03:34:06,sub_100113,insufficient_funds,funding_shortfall,recovery_abandoned,1,still_failed
2026-09-04 03:34:06,sub_100118,insufficient_funds,funding_shortfall,retry_scheduled,1,still_failed
2026-09-04 03:34:06,sub_100171,mandate_revoked,mandate_lifecycle,no_retry_winback_offer,,correctly_stopped
2026-09-04 03:34:06,sub_100174,mandate_expired,mandate_lifecycle,recovery_abandoned,1,correctly_stopped
2026-09-04 03:34:06,sub_100175,mandate_expired,mandate_lifecycle,recovery_abandoned,1,correctly_stopped
2026-09-04 03:34:06,sub_100178,insufficient_funds,funding_shortfall,recovery_abandoned,1,still_failed
2026-09-04 03:34:06,sub_100187,bank_technical_decline,transient_bank_error,immediate_retry_once,1,recovered
2026-09-04 03:34:06,sub_100191,insufficient_funds,funding_shortfall,retry_scheduled,1,recovered
2026-09-04 03:34:06,sub_100192,bank_technical_decline,transient_bank_error,immediate_retry_once,1,recovered
2026-09-04 03:34:06,sub_100203,mandate_revoked,mandate_lifecycle,no_retry_winback_offer,,correctly_stopped
2026-09-04 03:34:06,sub_100204,insufficient_funds,funding_shortfall,retry_scheduled,1,still_failed
2026-09-04 03:34:06,sub_100207,insufficient_funds,funding_shortfall,retry_scheduled,1,still_failed
2026-09-04 03:34:06,sub_100216,instrument_expired,payment_instrument_issue,recovery_abandoned,1,still_failed
2026-09-04 03:34:06,sub_100220,mandate_expired,mandate_lifecycle,recovery_abandoned,1,correctly_stopped
2026-09-04 03:34:06,sub_100273,mandate_expired,mandate_lifecycle,recovery_abandoned,1,correctly_stopped
2026-09-04 03:34:06,sub_100284,mandate_expired,mandate_lifecycle,recovery_abandoned,1,still_failed
2026-09-04 03:34:06,sub_100291,mandate_expired,mandate_lifecycle,reauth_request,1,recovered
2026-09-04 03:34:06,sub_100315,mandate_expired,mandate_lifecycle,recovery_abandoned,1,correctly_stopped
2026-09-04 03:34:06,sub_100319,mandate_expired,mandate_lifecycle,recovery_abandoned,1,still_failed
2026-09-04 03:34:06,sub_100328,insufficient_funds,funding_shortfall,retry_scheduled,1,recovered
2026-09-04 03:34:06,sub_100334,instrument_expired,payment_instrument_issue,update_payment_method_request,1,still_failed
2026-09-04 03:34:06,sub_100345,mandate_expired,mandate_lifecycle,reauth_request,1,recovered
2026-09-04 03:34:06,sub_100359,mandate_revoked,mandate_lifecycle,no_retry_winback_offer,,correctly_stopped
2026-09-04 03:34:06,sub_100362,insufficient_funds,funding_shortfall,retry_scheduled,1,still_failed
2026-09-04 03:34:06,sub_100376,bank_technical_decline,transient_bank_error,recovery_abandoned,1,still_failed
2026-09-04 03:34:06,sub_100384,insufficient_funds,funding_shortfall,recovery_abandoned,1,still_failed
2026-09-04 03:34:06,sub_100387,instrument_expired,payment_instrument_issue,update_payment_method_request,1,recovered
2026-09-04 03:34:06,sub_100394,instrument_expired,payment_instrument_issue,update_payment_method_request,1,still_failed
2026-09-04 03:34:06,sub_100396,insufficient_funds,funding_shortfall,recovery_abandoned,1,correctly_stopped
2026-09-04 03:34:06,sub_100410,insufficient_funds,funding_shortfall,retry_scheduled,1,still_failed
2026-09-04 03:34:06,sub_100412,bank_technical_decline,transient_bank_error,immediate_retry_once,1,recovered
2026-09-04 03:34:06,sub_100421,insufficient_funds,funding_shortfall,recovery_abandoned,1,correctly_stopped
2026-09-04 03:34:06,sub_100426,mandate_expired,mandate_lifecycle,recovery_abandoned,1,correctly_stopped
2026-09-04 03:34:06,sub_100446,mandate_revoked,mandate_lifecycle,no_retry_winback_offer,,correctly_stopped
2026-09-04 03:34:06,sub_100447,mandate_expired,mandate_lifecycle,reauth_request,1,still_failed
2026-09-04 03:34:06,sub_100454,mandate_expired,mandate_lifecycle,reauth_request,1,recovered
2026-09-04 03:34:06,sub_100456,mandate_expired,mandate_lifecycle,reauth_request,1,still_failed
2026-09-04 03:34:06,sub_100463,mandate_expired,mandate_lifecycle,recovery_abandoned,1,still_failed
2026-09-04 03:34:06,sub_100471,bank_technical_decline,transient_bank_error,recovery_abandoned,1,still_failed
2026-09-04 03:34:06,sub_100486,risk_block,fraud_or_risk_hold,manual_review_escalation,,correctly_stopped
2026-09-04 03:34:06,sub_100499,mandate_expired,mandate_lifecycle,recovery_abandoned,1,correctly_stopped
